Variables = "x [mm]"	"y [mm]"	"z [mm]"	"x/B"	"y/B"	"z/B"	"C*"	"C*std"	
Zone T = "Trees_West_y=136mm_Tec" I=17 J=25 F=POINT
  -7.5000	 148.0000	  22.5000	  -0.1630	   3.2174	   0.4891	  40.9106	  41.7650	
  -5.0000	 148.0000	  22.5000	  -0.1087	   3.2174	   0.4891	  33.8263	  35.7275	
  -2.5000	 148.0000	  22.5000	  -0.0543	   3.2174	   0.4891	  26.7419	  29.6900	
   0.0000	 148.0000	  22.5000	   0.0000	   3.2174	   0.4891	  20.4588	  24.1966	
   2.5000	 148.0000	  22.5000	   0.0543	   3.2174	   0.4891	  17.2475	  20.7888	
   5.0000	 148.0000	  22.5000	   0.1087	   3.2174	   0.4891	  14.8375	  17.9250	
   7.5000	 148.0000	  22.5000	   0.1630	   3.2174	   0.4891	  12.4275	  15.0612	
  10.0000	 148.0000	  22.5000	   0.2174	   3.2174	   0.4891	  10.3344	  12.5414	
  12.5000	 148.0000	  22.5000	   0.2717	   3.2174	   0.4891	   9.4563	  11.3400	
  15.0000	 148.0000	  22.5000	   0.3261	   3.2174	   0.4891	   8.8950	  10.4825	
  17.5000	 148.0000	  22.5000	   0.3804	   3.2174	   0.4891	   8.3338	   9.6250	
  20.0000	 148.0000	  22.5000	   0.4348	   3.2174	   0.4891	   7.7725	   8.7675	
 -20.0000	 148.0000	  25.0000	  -0.4348	   3.2174	   0.5435	  62.2625	  45.1094	
 -17.5000	 148.0000	  25.0000	  -0.3804	   3.2174	   0.5435	  57.9221	  44.7355	
 -15.0000	 148.0000	  25.0000	  -0.3261	   3.2174	   0.5435	  53.3727	  44.2489	
 -12.5000	 148.0000	  25.0000	  -0.2717	   3.2174	   0.5435	  48.4757	  43.5597	
 -10.0000	 148.0000	  25.0000	  -0.2174	   3.2174	   0.5435	  43.1300	  42.5900	
  -7.5000	 148.0000	  25.0000	  -0.1630	   3.2174	   0.5435	  37.5349	  37.4721	
  -5.0000	 148.0000	  25.0000	  -0.1087	   3.2174	   0.5435	  31.4400	  32.0892	
  -2.5000	 148.0000	  25.0000	  -0.0543	   3.2174	   0.5435	  25.0548	  26.4323	
   0.0000	 148.0000	  25.0000	   0.0000	   3.2174	   0.5435	  18.4800	  20.3900	
   2.5000	 148.0000	  25.0000	   0.0543	   3.2174	   0.5435	  16.5656	  18.3408	
   5.0000	 148.0000	  25.0000	   0.1087	   3.2174	   0.5435	  14.3969	  15.9008	
   7.5000	 148.0000	  25.0000	   0.1630	   3.2174	   0.5435	  12.0674	  13.1976	
  10.0000	 148.0000	  25.0000	   0.2174	   3.2174	   0.5435	   9.6100	  10.2600	
  12.5000	 148.0000	  25.0000	   0.2717	   3.2174	   0.5435	   9.2913	  10.0128	
  15.0000	 148.0000	  25.0000	   0.3261	   3.2174	   0.5435	   8.7922	   9.4572	
  17.5000	 148.0000	  25.0000	   0.3804	   3.2174	   0.5435	   8.2373	   8.7864	
  20.0000	 148.0000	  25.0000	   0.4348	   3.2174	   0.5435	   7.7300	   8.1500	
 -20.0000	 148.0000	  27.5000	  -0.4348	   3.2174	   0.5978	  59.7032	  43.1121	
 -17.5000	 148.0000	  27.5000	  -0.3804	   3.2174	   0.5978	  55.5205	  42.4295	
 -15.0000	 148.0000	  27.5000	  -0.3261	   3.2174	   0.5978	  51.0228	  41.5272	
 -12.5000	 148.0000	  27.5000	  -0.2717	   3.2174	   0.5978	  46.5252	  40.6248	
 -10.0000	 148.0000	  27.5000	  -0.2174	   3.2174	   0.5978	  41.8046	  38.9795	
  -7.5000	 148.0000	  27.5000	  -0.1630	   3.2174	   0.5978	  36.3344	  34.8356	
  -5.0000	 148.0000	  27.5000	  -0.1087	   3.2174	   0.5978	  30.6412	  29.9488	
  -2.5000	 148.0000	  27.5000	  -0.0543	   3.2174	   0.5978	  24.9481	  25.0619	
   0.0000	 148.0000	  27.5000	   0.0000	   3.2174	   0.5978	  19.8522	  20.5963	
   2.5000	 148.0000	  27.5000	   0.0543	   3.2174	   0.5978	  17.0456	  17.7456	
   5.0000	 148.0000	  27.5000	   0.1087	   3.2174	   0.5978	  14.8362	  15.3163	
   7.5000	 148.0000	  27.5000	   0.1630	   3.2174	   0.5978	  12.6269	  12.8869	
  10.0000	 148.0000	  27.5000	   0.2174	   3.2174	   0.5978	  10.6743	  10.7544	
  12.5000	 148.0000	  27.5000	   0.2717	   3.2174	   0.5978	   9.7062	   9.7600	
  15.0000	 148.0000	  27.5000	   0.3261	   3.2174	   0.5978	   8.9950	   9.0625	
  17.5000	 148.0000	  27.5000	   0.3804	   3.2174	   0.5978	   8.2838	   8.3650	
  20.0000	 148.0000	  27.5000	   0.4348	   3.2174	   0.5978	   7.5725	   7.6675	
 -20.0000	 148.0000	  30.0000	  -0.4348	   3.2174	   0.6522	  57.1439	  41.1147	
 -17.5000	 148.0000	  30.0000	  -0.3804	   3.2174	   0.6522	  53.2297	  40.1878	
 -15.0000	 148.0000	  30.0000	  -0.3261	   3.2174	   0.6522	  49.1281	  39.0769	
 -12.5000	 148.0000	  30.0000	  -0.2717	   3.2174	   0.6522	  45.0266	  37.9659	
 -10.0000	 148.0000	  30.0000	  -0.2174	   3.2174	   0.6522	  40.6554	  36.1072	
  -7.5000	 148.0000	  30.0000	  -0.1630	   3.2174	   0.6522	  35.7012	  32.6312	
  -5.0000	 148.0000	  30.0000	  -0.1087	   3.2174	   0.6522	  30.4775	  28.4075	
  -2.5000	 148.0000	  30.0000	  -0.0543	   3.2174	   0.6522	  25.2537	  24.1838	
   0.0000	 148.0000	  30.0000	   0.0000	   3.2174	   0.6522	  20.7017	  20.3817	
   2.5000	 148.0000	  30.0000	   0.0543	   3.2174	   0.6522	  17.8288	  17.6338	
   5.0000	 148.0000	  30.0000	   0.1087	   3.2174	   0.6522	  15.6275	  15.3075	
   7.5000	 148.0000	  30.0000	   0.1630	   3.2174	   0.6522	  13.4262	  12.9812	
  10.0000	 148.0000	  30.0000	   0.2174	   3.2174	   0.6522	  11.5025	  10.9792	
  12.5000	 148.0000	  30.0000	   0.2717	   3.2174	   0.6522	  10.2725	   9.7875	
  15.0000	 148.0000	  30.0000	   0.3261	   3.2174	   0.6522	   9.3200	   8.9200	
  17.5000	 148.0000	  30.0000	   0.3804	   3.2174	   0.6522	   8.3675	   8.0525	
  20.0000	 148.0000	  30.0000	   0.4348	   3.2174	   0.6522	   7.4150	   7.1850	
 -20.0000	 148.0000	  32.5000	  -0.4348	   3.2174	   0.7065	  54.5846	  39.1173	
 -17.5000	 148.0000	  32.5000	  -0.3804	   3.2174	   0.7065	  50.9389	  37.9461	
 -15.0000	 148.0000	  32.5000	  -0.3261	   3.2174	   0.7065	  47.2334	  36.6266	
 -12.5000	 148.0000	  32.5000	  -0.2717	   3.2174	   0.7065	  43.5280	  35.3070	
 -10.0000	 148.0000	  32.5000	  -0.2174	   3.2174	   0.7065	  39.6269	  33.5696	
  -7.5000	 148.0000	  32.5000	  -0.1630	   3.2174	   0.7065	  35.0681	  30.4269	
  -5.0000	 148.0000	  32.5000	  -0.1087	   3.2174	   0.7065	  30.3137	  26.8663	
  -2.5000	 148.0000	  32.5000	  -0.0543	   3.2174	   0.7065	  25.5594	  23.3056	
   0.0000	 148.0000	  32.5000	   0.0000	   3.2174	   0.7065	  21.2441	  19.9743	
   2.5000	 148.0000	  32.5000	   0.0543	   3.2174	   0.7065	  18.6119	  17.5219	
   5.0000	 148.0000	  32.5000	   0.1087	   3.2174	   0.7065	  16.4187	  15.2988	
   7.5000	 148.0000	  32.5000	   0.1630	   3.2174	   0.7065	  14.2256	  13.0756	
  10.0000	 148.0000	  32.5000	   0.2174	   3.2174	   0.7065	  12.2038	  11.0557	
  12.5000	 148.0000	  32.5000	   0.2717	   3.2174	   0.7065	  10.8388	   9.8150	
