Variables = "x [mm]"	"y [mm]"	"z [mm]"	"x/H"	"y/H"	"z/H"	"U [m/s]"	"V [m/s]"	"Length [m/s]"	"U/U<sub>ref</sub>"	"V/U<sub>ref</sub>"	"Std_U/U<sub>ref</sub>"	"Std_V/U<sub>ref</sub>"	"TKE/U<sub>ref</sub><sup>2</sup>"	"u'v'/U<sub>ref</sub><sup>2</sup> "	"Corr-coeff"	"Skew_U"	"Skew_W"	"Kurt_U"	"Kurt_W"	"Length/U<sub>ref</sub>"	
Zone T = "z=8mm_ImgMean_16x32x64_MovingAvgf3x3" I=17 J=65 F=POINT
  -7.5000	-153.5000	   8.0000	  -0.1630	  -3.3370	   0.1739	   0.3528	  -0.5203	   0.6286	   0.0588	  -0.0867	   0.0455	   0.0731	   0.0056	   0.0006	  -0.1915	   1.3509	   1.1739	  12.7845	   7.6677	   0.1048	
  -5.0000	-153.5000	   8.0000	  -0.1087	  -3.3370	   0.1739	   0.3725	  -0.5117	   0.6329	   0.0621	  -0.0853	   0.0456	   0.0719	   0.0054	   0.0006	  -0.1685	   1.3787	   1.2857	  13.3547	   7.9533	   0.1055	
  -2.5000	-153.5000	   8.0000	  -0.0543	  -3.3370	   0.1739	   0.4139	  -0.5513	   0.6894	   0.0690	  -0.0919	   0.0473	   0.0725	   0.0056	   0.0006	  -0.1879	   0.9952	   1.1685	   9.3309	   7.4655	   0.1149	
   0.0000	-153.5000	   8.0000	   0.0000	  -3.3370	   0.1739	   0.4377	  -0.5790	   0.7258	   0.0729	  -0.0965	   0.0481	   0.0724	   0.0057	   0.0006	  -0.1850	   0.7524	   1.1297	   7.0474	   7.2729	   0.1210	
   2.5000	-153.5000	   8.0000	   0.0543	  -3.3370	   0.1739	   0.4453	  -0.5911	   0.7401	   0.0742	  -0.0985	   0.0482	   0.0719	   0.0056	   0.0005	  -0.1324	   0.7490	   1.1499	   7.4288	   6.8876	   0.1234	
   5.0000	-153.5000	   8.0000	   0.1087	  -3.3370	   0.1739	   0.4509	  -0.6017	   0.7520	   0.0752	  -0.1003	   0.0501	   0.0703	   0.0056	   0.0002	  -0.0697	   0.6238	   1.1394	   7.5825	   6.8411	   0.1253	
   7.5000	-153.5000	   8.0000	   0.1630	  -3.3370	   0.1739	   0.4180	  -0.5856	   0.7195	   0.0697	  -0.0976	   0.0532	   0.0674	   0.0055	   0.0002	  -0.0487	   0.5304	   1.3119	   7.9017	   8.1987	   0.1199	
  10.0000	-153.5000	   8.0000	   0.2174	  -3.3370	   0.1739	   0.3520	  -0.5868	   0.6843	   0.0587	  -0.0978	   0.0560	   0.0669	   0.0057	   0.0006	  -0.1516	   0.4216	   1.5230	   6.1972	   9.2428	   0.1141	
  12.5000	-153.5000	   8.0000	   0.2717	  -3.3370	   0.1739	   0.2808	  -0.6239	   0.6842	   0.0468	  -0.1040	   0.0542	   0.0696	   0.0058	   0.0009	  -0.2401	   0.5754	   1.5996	   5.8483	   9.2942	   0.1140	
  15.0000	-153.5000	   8.0000	   0.3261	  -3.3370	   0.1739	   0.2198	  -0.6600	   0.6956	   0.0366	  -0.1100	   0.0464	   0.0715	   0.0055	   0.0007	  -0.1953	   0.5757	   1.7250	   4.9106	  10.1242	   0.1159	
  17.5000	-153.5000	   8.0000	   0.3804	  -3.3370	   0.1739	   0.1705	  -0.6694	   0.6908	   0.0284	  -0.1116	   0.0383	   0.0732	   0.0051	   0.0002	  -0.0614	   0.5163	   1.8219	   4.5540	  10.6742	   0.1151	
  20.0000	-153.5000	   8.0000	   0.4348	  -3.3370	   0.1739	   0.1305	  -0.6722	   0.6848	   0.0217	  -0.1120	   0.0331	   0.0756	   0.0051	  -0.0001	   0.0286	   0.6615	   1.7545	   5.1710	  10.3415	   0.1141	
 -20.0000	-151.0000	   8.0000	  -0.4348	  -3.2826	   0.1739	   0.1099	  -0.6615	   0.6704	   0.0183	  -0.1102	   0.0322	   0.0891	   0.0067	   0.0010	  -0.3473	   1.0022	   0.7968	   5.0712	   6.5446	   0.1117	
 -17.5000	-151.0000	   8.0000	  -0.3804	  -3.2826	   0.1739	   0.1513	  -0.6589	   0.6760	   0.0252	  -0.1098	   0.0345	   0.0880	   0.0067	   0.0011	  -0.3614	   0.8677	   0.8153	   4.6288	   6.9994	   0.1127	
 -15.0000	-151.0000	   8.0000	  -0.3261	  -3.2826	   0.1739	   0.2171	  -0.6275	   0.6641	   0.0362	  -0.1046	   0.0381	   0.0848	   0.0065	   0.0011	  -0.3275	   0.8630	   0.9081	   5.5263	   7.4700	   0.1107	
 -12.5000	-151.0000	   8.0000	  -0.2717	  -3.2826	   0.1739	   0.2833	  -0.5889	   0.6535	   0.0472	  -0.0982	   0.0419	   0.0810	   0.0062	   0.0009	  -0.2720	   0.8754	   0.9841	   6.5366	   7.6453	   0.1089	
 -10.0000	-151.0000	   8.0000	  -0.2174	  -3.2826	   0.1739	   0.3289	  -0.5524	   0.6429	   0.0548	  -0.0921	   0.0444	   0.0768	   0.0059	   0.0008	  -0.2381	   0.9712	   1.0283	   7.7694	   7.3153	   0.1072	
  -7.5000	-151.0000	   8.0000	  -0.1630	  -3.2826	   0.1739	   0.3656	  -0.5359	   0.6488	   0.0609	  -0.0893	   0.0462	   0.0750	   0.0058	   0.0008	  -0.2199	   1.1354	   1.0997	  10.4821	   7.2528	   0.1081	
  -5.0000	-151.0000	   8.0000	  -0.1087	  -3.2826	   0.1739	   0.3936	  -0.5312	   0.6611	   0.0656	  -0.0885	   0.0471	   0.0740	   0.0058	   0.0007	  -0.1972	   1.2081	   1.2016	  11.4568	   7.6284	   0.1102	
  -2.5000	-151.0000	   8.0000	  -0.0543	  -3.2826	   0.1739	   0.4304	  -0.5638	   0.7093	   0.0717	  -0.0940	   0.0487	   0.0742	   0.0059	   0.0007	  -0.2056	   0.9864	   1.1826	   9.5217	   7.8704	   0.1182	
   0.0000	-151.0000	   8.0000	   0.0000	  -3.2826	   0.1739	   0.4552	  -0.5985	   0.7519	   0.0759	  -0.0997	   0.0500	   0.0744	   0.0060	   0.0008	  -0.2062	   0.8022	   1.1633	   7.7138	   8.0671	   0.1253	
   2.5000	-151.0000	   8.0000	   0.0543	  -3.2826	   0.1739	   0.4664	  -0.6195	   0.7754	   0.0777	  -0.1033	   0.0501	   0.0737	   0.0060	   0.0007	  -0.1791	   0.7764	   1.0782	   7.9856	   7.1195	   0.1292	
   5.0000	-151.0000	   8.0000	   0.1087	  -3.2826	   0.1739	   0.4692	  -0.6184	   0.7763	   0.0782	  -0.1031	   0.0514	   0.0726	   0.0059	   0.0005	  -0.1216	   0.6248	   1.1491	   7.8845	   7.1623	   0.1294	
   7.5000	-151.0000	   8.0000	   0.1630	  -3.2826	   0.1739	   0.4356	  -0.5906	   0.7338	   0.0726	  -0.0984	   0.0556	   0.0702	   0.0060	   0.0005	  -0.1157	   0.3702	   1.2924	   6.6438	   7.7077	   0.1223	
  10.0000	-151.0000	   8.0000	   0.2174	  -3.2826	   0.1739	   0.3542	  -0.5857	   0.6846	   0.0590	  -0.0976	   0.0584	   0.0711	   0.0063	   0.0009	  -0.2251	   0.2412	   1.5141	   4.2745	   8.9523	   0.1141	
  12.5000	-151.0000	   8.0000	   0.2717	  -3.2826	   0.1739	   0.2751	  -0.6317	   0.6889	   0.0458	  -0.1053	   0.0545	   0.0745	   0.0064	   0.0012	  -0.2922	   0.4279	   1.5029	   4.0451	   8.3763	   0.1148	
  15.0000	-151.0000	   8.0000	   0.3261	  -3.2826	   0.1739	   0.2261	  -0.6838	   0.7202	   0.0377	  -0.1140	   0.0460	   0.0746	   0.0058	   0.0007	  -0.2092	   0.4482	   1.5582	   3.9993	   8.8995	   0.1200	
  17.5000	-151.0000	   8.0000	   0.3804	  -3.2826	   0.1739	   0.1847	  -0.6995	   0.7234	   0.0308	  -0.1166	   0.0389	   0.0745	   0.0053	   0.0001	  -0.0499	   0.4239	   1.7224	   4.2497	  10.0096	   0.1206	
  20.0000	-151.0000	   8.0000	   0.4348	  -3.2826	   0.1739	   0.1451	  -0.6902	   0.7053	   0.0242	  -0.1150	   0.0345	   0.0770	   0.0053	  -0.0001	   0.0538	   0.6259	   1.7466	   4.7093	  10.3116	   0.1176	
 -20.0000	-148.5000	   8.0000	  -0.4348	  -3.2283	   0.1739	   0.0962	  -0.6698	   0.6765	   0.0160	  -0.1116	   0.0300	   0.0879	   0.0065	   0.0007	  -0.2691	   1.0679	   0.9585	   5.3327	   7.0210	   0.1127	
 -17.5000	-148.5000	   8.0000	  -0.3804	  -3.2283	   0.1739	   0.1402	  -0.6667	   0.6812	   0.0234	  -0.1111	   0.0332	   0.0875	   0.0066	   0.0009	  -0.2955	   0.9068	   0.9474	   4.9177	   7.2215	   0.1135	
 -15.0000	-148.5000	   8.0000	  -0.3261	  -3.2283	   0.1739	   0.2102	  -0.6379	   0.6717	   0.0350	  -0.1063	   0.0376	   0.0853	   0.0065	   0.0010	  -0.2985	   0.8489	   0.9595	   5.4984	   7.4236	   0.1120	
 -12.5000	-148.5000	   8.0000	  -0.2717	  -3.2283	   0.1739	   0.2842	  -0.6026	   0.6662	   0.0474	  -0.1004	   0.0421	   0.0826	   0.0065	   0.0010	  -0.2780	   0.8003	   0.9810	   5.8495	   7.8481	   0.1110	
 -10.0000	-148.5000	   8.0000	  -0.2174	  -3.2283	   0.1739	   0.3400	  -0.5714	   0.6649	   0.0567	  -0.0952	   0.0454	   0.0793	   0.0063	   0.0010	  -0.2651	   0.8526	   0.9543	   6.8599	   7.2679	   0.1108	
  -7.5000	-148.5000	   8.0000	  -0.1630	  -3.2283	   0.1739	   0.3860	  -0.5622	   0.6820	   0.0643	  -0.0937	   0.0473	   0.0771	   0.0061	   0.0009	  -0.2545	   0.8971	   0.9417	   8.2030	   6.7216	   0.1137	
  -5.0000	-148.5000	   8.0000	  -0.1087	  -3.2283	   0.1739	   0.4259	  -0.5733	   0.7141	   0.0710	  -0.0955	   0.0492	   0.0761	   0.0062	   0.0009	  -0.2397	   0.9391	   0.9978	   9.1583	   6.8780	   0.1190	
  -2.5000	-148.5000	   8.0000	  -0.0543	  -3.2283	   0.1739	   0.4521	  -0.5919	   0.7448	   0.0754	  -0.0986	   0.0507	   0.0760	   0.0063	   0.0009	  -0.2309	   0.9249	   1.1146	   9.0043	   7.6509	   0.1241	
   0.0000	-148.5000	   8.0000	   0.0000	  -3.2283	   0.1739	   0.4653	  -0.6132	   0.7697	   0.0775	  -0.1022	   0.0513	   0.0758	   0.0063	   0.0009	  -0.2193	   0.7999	   1.1908	   7.2767	   8.2388	   0.1283	
