Variables = "x [mm]"	"y [mm]"	"z [mm]"	"x/H"	"y/H"	"z/H"	"U [m/s]"	"W [m/s]"	"Length [m/s]"	"U/U<sub>ref</sub>"	"W/U<sub>ref</sub>"	"Std_U/U<sub>ref</sub>"	"Std_W/U<sub>ref</sub>"	"TKE/U<sub>ref</sub><sup>2</sup>"	"u'w'/U<sub>ref</sub><sup>2</sup> "	"Corr-coeff"	"Skew_U"	"Skew_W"	"Kurt_U"	"Kurt_W"	"Length/U<sub>ref</sub>"	
Zone T = "y=29mm_ImgMean_16x32x64_MovingAvg3x3" I=65 J=40 F=POINT
  55.0000	  29.0000	   2.5000	   1.1957	   0.6304	   0.0543	   0.0003	   0.0000	   0.0004	   0.0001	   0.0000	   0.0001	   0.0000	   0.0000	   0.0000	  -0.0001	  -0.0017	   0.0005	   0.0097	   0.0092	   0.0001	
  57.5000	  29.0000	   2.5000	   1.2500	   0.6304	   0.0543	   0.0003	   0.0000	   0.0004	   0.0001	   0.0000	   0.0001	   0.0000	   0.0000	   0.0000	  -0.0001	  -0.0016	   0.0005	   0.0088	   0.0084	   0.0001	
  60.0000	  29.0000	   2.5000	   1.3043	   0.6304	   0.0543	   0.0003	   0.0000	   0.0004	   0.0000	   0.0000	   0.0001	   0.0000	   0.0000	   0.0000	  -0.0001	  -0.0014	   0.0004	   0.0081	   0.0077	   0.0001	
  62.5000	  29.0000	   2.5000	   1.3587	   0.6304	   0.0543	   0.0003	   0.0000	   0.0004	   0.0000	   0.0000	   0.0001	   0.0000	   0.0000	   0.0000	  -0.0001	  -0.0013	   0.0003	   0.0074	   0.0071	   0.0001	
  65.0000	  29.0000	   2.5000	   1.4130	   0.6304	   0.0543	   0.0002	   0.0000	   0.0003	   0.0000	   0.0000	   0.0001	   0.0000	   0.0000	   0.0000	  -0.0001	  -0.0012	   0.0003	   0.0067	   0.0065	   0.0001	
  67.5000	  29.0000	   2.5000	   1.4674	   0.6304	   0.0543	   0.0002	   0.0000	   0.0003	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	  -0.0001	  -0.0011	   0.0002	   0.0062	   0.0059	   0.0001	
  70.0000	  29.0000	   2.5000	   1.5217	   0.6304	   0.0543	   0.0002	   0.0000	   0.0003	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	  -0.0001	  -0.0010	   0.0002	   0.0057	   0.0055	   0.0001	
  72.5000	  29.0000	   2.5000	   1.5761	   0.6304	   0.0543	   0.0002	   0.0000	   0.0003	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	  -0.0000	  -0.0009	   0.0002	   0.0054	   0.0052	   0.0000	
  75.0000	  29.0000	   2.5000	   1.6304	   0.6304	   0.0543	   0.0002	   0.0000	   0.0003	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	  -0.0000	  -0.0009	   0.0002	   0.0052	   0.0050	   0.0000	
  77.5000	  29.0000	   2.5000	   1.6848	   0.6304	   0.0543	   0.0002	   0.0000	   0.0003	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	  -0.0000	  -0.0009	   0.0001	   0.0051	   0.0049	   0.0000	
  80.0000	  29.0000	   2.5000	   1.7391	   0.6304	   0.0543	   0.0002	  -0.0000	   0.0003	   0.0000	  -0.0000	   0.0000	   0.0000	   0.0000	   0.0000	  -0.0000	  -0.0008	   0.0001	   0.0051	   0.0049	   0.0001	
 -80.0000	  29.0000	   5.0000	  -1.7391	   0.6304	   0.1087	  -0.0000	   0.0000	  -0.0001	  -0.0000	   0.0000	  -0.0000	  -0.0000	  -0.0000	   0.0000	  -0.0000	   0.0001	   0.0000	  -0.0008	  -0.0008	  -0.0000	
 -77.5000	  29.0000	   5.0000	  -1.6848	   0.6304	   0.1087	  -0.0000	   0.0000	  -0.0001	  -0.0000	   0.0000	  -0.0000	  -0.0000	  -0.0000	   0.0000	  -0.0000	   0.0001	   0.0000	  -0.0008	  -0.0008	  -0.0000	
 -75.0000	  29.0000	   5.0000	  -1.6304	   0.6304	   0.1087	  -0.0000	   0.0000	  -0.0001	  -0.0000	   0.0000	  -0.0000	  -0.0000	  -0.0000	   0.0000	  -0.0000	   0.0001	   0.0001	  -0.0008	  -0.0008	  -0.0000	
 -72.5000	  29.0000	   5.0000	  -1.5761	   0.6304	   0.1087	  -0.0000	   0.0000	  -0.0001	  -0.0000	   0.0000	  -0.0000	  -0.0000	  -0.0000	   0.0000	  -0.0000	   0.0001	   0.0001	  -0.0008	  -0.0009	  -0.0000	
 -70.0000	  29.0000	   5.0000	  -1.5217	   0.6304	   0.1087	  -0.0000	   0.0000	  -0.0001	  -0.0000	   0.0000	  -0.0000	  -0.0000	  -0.0000	   0.0000	  -0.0000	   0.0001	   0.0001	  -0.0009	  -0.0009	  -0.0000	
 -67.5000	  29.0000	   5.0000	  -1.4674	   0.6304	   0.1087	  -0.0000	   0.0000	  -0.0001	  -0.0000	   0.0000	  -0.0000	  -0.0000	  -0.0000	   0.0000	  -0.0000	   0.0002	   0.0001	  -0.0009	  -0.0009	  -0.0000	
 -65.0000	  29.0000	   5.0000	  -1.4130	   0.6304	   0.1087	  -0.0000	   0.0000	  -0.0001	  -0.0000	   0.0000	  -0.0000	  -0.0000	  -0.0000	   0.0000	  -0.0000	   0.0002	   0.0001	  -0.0009	  -0.0010	  -0.0000	
 -62.5000	  29.0000	   5.0000	  -1.3587	   0.6304	   0.1087	  -0.0000	   0.0000	  -0.0001	  -0.0000	   0.0000	  -0.0000	  -0.0000	  -0.0000	   0.0000	  -0.0000	   0.0002	   0.0001	  -0.0010	  -0.0010	  -0.0000	
 -60.0000	  29.0000	   5.0000	  -1.3043	   0.6304	   0.1087	  -0.0000	   0.0000	  -0.0001	  -0.0000	   0.0000	  -0.0000	  -0.0000	  -0.0000	   0.0000	  -0.0000	   0.0002	   0.0001	  -0.0010	  -0.0011	  -0.0000	
 -57.5000	  29.0000	   5.0000	  -1.2500	   0.6304	   0.1087	  -0.0001	   0.0000	  -0.0001	  -0.0000	   0.0000	  -0.0000	  -0.0000	  -0.0000	   0.0000	  -0.0000	   0.0002	   0.0001	  -0.0012	  -0.0012	  -0.0000	
 -55.0000	  29.0000	   5.0000	  -1.1957	   0.6304	   0.1087	  -0.0001	   0.0000	  -0.0001	  -0.0000	   0.0000	  -0.0000	  -0.0000	  -0.0000	   0.0000	  -0.0000	   0.0002	   0.0001	  -0.0013	  -0.0014	  -0.0000	
 -52.5000	  29.0000	   5.0000	  -1.1413	   0.6304	   0.1087	  -0.0001	   0.0000	  -0.0001	  -0.0000	   0.0000	  -0.0000	  -0.0000	  -0.0000	   0.0000	  -0.0000	   0.0003	   0.0001	  -0.0015	  -0.0016	  -0.0000	
 -50.0000	  29.0000	   5.0000	  -1.0870	   0.6304	   0.1087	  -0.0001	   0.0000	  -0.0001	  -0.0000	   0.0000	  -0.0000	  -0.0000	  -0.0000	   0.0000	  -0.0001	   0.0003	   0.0002	  -0.0017	  -0.0018	  -0.0000	
 -47.5000	  29.0000	   5.0000	  -1.0326	   0.6304	   0.1087	  -0.0001	   0.0000	  -0.0001	  -0.0000	   0.0000	  -0.0000	  -0.0000	  -0.0000	   0.0000	  -0.0001	   0.0003	   0.0002	  -0.0020	  -0.0021	  -0.0000	
 -45.0000	  29.0000	   5.0000	  -0.9783	   0.6304	   0.1087	  -0.0001	   0.0000	  -0.0001	  -0.0000	   0.0000	  -0.0000	  -0.0000	  -0.0000	   0.0000	  -0.0001	   0.0004	   0.0003	  -0.0022	  -0.0024	  -0.0000	
 -42.5000	  29.0000	   5.0000	  -0.9239	   0.6304	   0.1087	  -0.0001	   0.0000	  -0.0001	  -0.0000	   0.0000	  -0.0000	  -0.0000	  -0.0000	   0.0000	  -0.0001	   0.0005	   0.0003	  -0.0026	  -0.0027	  -0.0000	
 -40.0000	  29.0000	   5.0000	  -0.8696	   0.6304	   0.1087	  -0.0001	   0.0000	  -0.0002	  -0.0000	   0.0000	  -0.0000	  -0.0000	  -0.0000	   0.0000	  -0.0001	   0.0005	   0.0004	  -0.0029	  -0.0031	  -0.0000	
 -37.5000	  29.0000	   5.0000	  -0.8152	   0.6304	   0.1087	  -0.0001	   0.0000	  -0.0002	  -0.0000	   0.0000	  -0.0000	  -0.0000	  -0.0000	   0.0000	  -0.0001	   0.0006	   0.0005	  -0.0036	  -0.0037	  -0.0000	
 -35.0000	  29.0000	   5.0000	  -0.7609	   0.6304	   0.1087	  -0.0002	   0.0000	  -0.0002	  -0.0000	   0.0000	  -0.0000	  -0.0000	  -0.0000	   0.0000	  -0.0002	   0.0008	   0.0007	  -0.0045	  -0.0047	  -0.0000	
 -32.5000	  29.0000	   5.0000	  -0.7065	   0.6304	   0.1087	  -0.0002	   0.0000	  -0.0002	  -0.0000	   0.0000	  -0.0000	  -0.0000	  -0.0000	   0.0000	  -0.0002	   0.0008	   0.0005	  -0.0041	  -0.0045	  -0.0000	
 -30.0000	  29.0000	   5.0000	  -0.6522	   0.6304	   0.1087	  -0.0004	   0.0004	  -0.0006	  -0.0001	   0.0001	  -0.0001	  -0.0001	  -0.0000	   0.0000	  -0.0013	   0.0041	   0.0050	  -0.0259	  -0.0242	  -0.0001	
 -27.5000	  29.0000	   5.0000	  -0.5978	   0.6304	   0.1087	   0.0002	  -0.0015	   0.0013	   0.0000	  -0.0003	   0.0002	   0.0005	   0.0000	  -0.0000	   0.0057	  -0.0155	  -0.0212	   0.0995	   0.0886	   0.0002	
 -25.0000	  29.0000	   5.0000	  -0.5435	   0.6304	   0.1087	  -0.0044	   0.0096	  -0.0108	  -0.0007	   0.0016	  -0.0017	  -0.0032	  -0.0001	   0.0000	  -0.0413	   0.1186	   0.1529	  -0.7240	  -0.6638	  -0.0018	
 -22.5000	  29.0000	   5.0000	  -0.4891	   0.6304	   0.1087	   0.0225	  -0.0518	   0.0561	   0.0038	  -0.0086	   0.0097	   0.0184	   0.0007	  -0.0002	   0.2572	  -0.7318	  -0.9215	   4.2421	   3.9255	   0.0093	
 -20.0000	  29.0000	   5.0000	  -0.4348	   0.6304	   0.1087	   0.1029	  -0.1905	   0.2165	   0.0172	  -0.0318	   0.0315	   0.0520	   0.0025	  -0.0007	   0.5848	  -1.4120	  -1.7356	   8.0859	   7.3999	   0.0361	
 -17.5000	  29.0000	   5.0000	  -0.3804	   0.6304	   0.1087	   0.2166	  -0.2708	   0.3468	   0.0361	  -0.0451	   0.0447	   0.0555	   0.0037	  -0.0011	   0.4805	  -0.7845	  -0.8129	   4.1994	   4.0277	   0.0578	
 -15.0000	  29.0000	   5.0000	  -0.3261	   0.6304	   0.1087	   0.3534	  -0.2770	   0.4499	   0.0589	  -0.0462	   0.0559	   0.0551	   0.0045	  -0.0012	   0.4314	  -0.5667	  -0.6457	   3.9215	   4.0104	   0.0750	
 -12.5000	  29.0000	   5.0000	  -0.2717	   0.6304	   0.1087	   0.4810	  -0.2276	   0.5326	   0.0802	  -0.0379	   0.0615	   0.0511	   0.0046	  -0.0010	   0.3492	  -0.2908	  -0.5291	   3.9695	   3.9046	   0.0888	
 -10.0000	  29.0000	   5.0000	  -0.2174	   0.6304	   0.1087	   0.5540	  -0.1875	   0.5850	   0.0923	  -0.0312	   0.0667	   0.0482	   0.0049	  -0.0010	   0.3211	  -0.2962	  -0.4175	   4.1323	   3.8881	   0.0975	
  -7.5000	  29.0000	   5.0000	  -0.1630	   0.6304	   0.1087	   0.5615	  -0.1484	   0.5810	   0.0936	  -0.0247	   0.0704	   0.0458	   0.0051	  -0.0009	   0.2954	  -0.4630	  -0.4453	   4.2188	   4.0398	   0.0968	
  -5.0000	  29.0000	   5.0000	  -0.1087	   0.6304	   0.1087	   0.5587	  -0.0996	   0.5677	   0.0931	  -0.0166	   0.0718	   0.0425	   0.0051	  -0.0007	   0.2315	  -0.4725	  -0.3819	   3.6960	   4.4077	   0.0946	
  -2.5000	  29.0000	   5.0000	  -0.0543	   0.6304	   0.1087	   0.5697	  -0.0568	   0.5727	   0.0950	  -0.0095	   0.0728	   0.0386	   0.0049	  -0.0004	   0.1476	  -0.5034	  -0.2833	   3.6430	   4.7825	   0.0954	
